# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
32296.4000 M1031 647911 2 1896.4000 S33 P14 268 N S33->S30->P14
32316.4000 M892 681581 1 5958.4000 B15 B17 200 N B15->B17
32439.1000 M1002 726547 1 2908.1000 B16 S27 251 N B16->S27
32657.0000 M703 776774 1 11905.0000 B17 P10 101 N B17->P10
32675.0000 M861 845947 1 7234.0000 B22 P14 179 N B22->P14
32707.6000 M1033 807481 1 2248.6000 B24 P11 262 N B24->P11
32833.6000 M1056 953081 1 1685.6000 S33 P11 271 N S33->P11
32977.0000 M747 572712 3 10913.0000 S32 S26 118 N S32->P14->B22->S26
32980.0000 M1068 729399 3 1475.0000 S26 B22 275 N S26->S27->S26->B22
33109.5000 M1076 756479 1 1360.5000 P2 P6 277 N P2->P6
33207.6000 M1072 916713 1 1579.6000 B24 B22 273 N B24->B22
33251.0000 M1037 989339 1 2673.0000 P2 P4 255 N P2->P4
33295.1000 M986 822210 2 4223.1000 S27 S31 229 N S27->P5->S31
33298.3000 M826 780426 6 8891.3000 S27 S31 151 N S27->S26->P10->S38->S27->P5->S31
33332.6000 M1017 849100 3 3356.6000 S32 B20 244 N S32->S34->S38->B20
33413.4000 M919 645693 2 6255.4000 S32 P13 195 N S32->B24->P13
33460.1000 M1126 623858 1 272.1000 P11 P2 295 N P11->P2
33488.4000 M1045 615185 1 2678.4000 P9 S31 255 N P9->S31
33507.2000 M931 685184 4 6009.2000 S31 B24 199 N S31->P7->P8->P1->B24
33530.1000 M958 584408 1 5254.1000 B20 P2 212 N B20->P2
33533.0000 M937 703412 1 5868.0000 B20 P2 202 N B20->P2
33535.3000 M945 555489 2 5635.3000 B24 B20 206 N B24->B22->B20
33573.1000 M984 782512 2 4557.1000 S31 P2 224 N S31->B23->P2
33575.3000 M1067 538240 1 2101.3000 B23 P2 264 N B23->P2
33671.2000 M837 614536 4 8939.2000 S33 P8 151 N S33->P5->S27->S35->P8
33803.8000 M1088 657097 1 1711.8000 B19 P2 271 N B19->P2
33806.3000 M1081 611082 1 1915.3000 P2 B19 268 N P2->B19
33999.4000 M780 648357 6 10929.4000 S29 S31 117 N S29->B20->S32->S34->S38->B20->S31
34200.0000 M1049 745654 1 3272.0000 P0 B23 245 N P0->B23
34534.5000 M1158 728799 1 427.5000 B15 S31 292 N B15->S31
34559.4000 M781 858910 6 11459.4000 P0 S33 109 N P0->S37->P3->S37->B15->B23->S33
34924.4000 M874 530074 2 9104.4000 P2 S26 148 N P2->B16->S26
34927.8000 M943 849987 1 7090.8000 B16 S26 181 N B16->S26
34980.6000 M1086 539344 1 2949.6000 P9 B20 250 N P9->B20
35012.5000 M1047 697513 3 4139.5000 S31 P10 231 N S31->P7->P12->P10
35063.5000 M898 961998 2 8521.5000 S29 B19 157 N S29->B21->B19
35066.9000 M766 836573 3 12420.9000 P13 B19 92 N P13->P0->B21->B19
35101.0000 M1071 618723 1 3505.0000 B16 B21 241 N B16->B21
35152.4000 M712 633958 4 14145.4000 B21 S32 64 N B21->S29->S35->P3->S32
35269.6000 M1026 540552 2 5019.6000 B22 S32 216 N B22->P2->S32
35486.0000 M1163 692012 1 1227.0000 S28 B16 279 N S28->B16
35489.8000 M1115 938104 2 2616.8000 P6 S28 256 N P6->B16->S28
35493.6000 M1131 931135 1 2148.6000 B16 S28 264 N B16->S28
35495.9000 M1095 557732 1 3187.9000 B16 S28 246 N B16->S28
35693.2000 M1212 661166 1 18.2000 P11 B22 299 N P11->B22
35807.2000 M991 672441 3 6592.2000 B24 S26 190 N B24->S25->P11->S26
35850.7000 M866 729055 4 10260.7000 B22 P10 128 N B22->P12->B16->S28->P10
35853.7000 M1186 747657 1 926.7000 S28 P10 284 N S28->P10
35862.0000 M1043 600542 2 5105.0000 P8 S27 214 N P8->P1->S27
35865.6000 M1025 887747 5 5643.6000 B15 P1 205 N B15->S31->P13->S31->S27->P1
35952.3000 M1199 522960 1 657.3000 B20 P2 289 N B20->P2
35975.7000 M1016 515608 1 6027.7000 B15 P1 199 N B15->P1
35995.4000 M1055 619352 1 4880.4000 P9 P12 218 N P9->P12
36001.1000 M1029 900974 1 5656.1000 B15 P14 205 N B15->P14
36083.9000 M962 893101 2 7699.9000 B21 B20 171 N B21->B24->B20
36161.9000 M929 906808 4 8714.9000 B22 P9 154 N B22->P6->S34->B24->P9
36235.2000 M1216 500058 1 434.2000 P14 B23 292 N P14->B23
36495.3000 M1155 906710 1 2467.3000 B16 P13 258 N B16->P13
36573.3000 M1110 552288 1 3845.3000 B16 P3 235 N B16->P3
36576.5000 M1113 795428 3 3770.5000 S29 B16 237 N S29->S36->P3->B16
36610.8000 M1030 766488 4 6239.8000 P10 S28 196 N P10->P11->P2->B19->S28
36746.2000 M1127 974840 1 3525.2000 B24 S29 241 N B24->S29
36973.4000 M1210 819320 3 1354.4000 S25 P14 277 N S25->P8->P9->P14
37289.2000 M1192 929061 1 2195.2000 B24 P3 263 N B24->P3
37355.8000 M862 980603 10 11886.8000 P4 S33 101 N P4->B24->S31->B18->S31->S36->P3->S38->P6->B16->S33
37398.1000 M1183 761815 2 2550.1000 B20 P7 257 N B20->S31->P7
37507.4000 M951 772943 2 9435.4000 B17 S30 142 N B17->B20->S30
37578.7000 M1245 775998 1 926.7000 P3 P7 284 N P3->P7
37599.5000 M1189 753732 3 2587.5000 P11 S33 256 N P11->B22->P6->S33
37705.8000 M920 649212 8 10520.8000 P6 P11 124 N P6->S39->S38->S37->P10->S37->P6->P14->P11
37739.8000 M1196 796247 2 2532.8000 P9 B17 257 N P9->P12->B17
37758.6000 M944 616998 4 9889.6000 P10 P0 135 N P10->P11->P2->B19->P0
37818.3000 M1211 745976 1 2170.3000 P1 P4 263 N P1->P4
37820.6000 M1169 565714 1 3387.6000 P4 P1 243 N P4->P1
37890.6000 M1140 836303 4 4288.6000 P14 B20 228 N P14->P7->S39->S26->B20
37977.9000 M1255 914032 1 1025.9000 P10 P6 282 N P10->P6
38022.4000 M1152 637845 3 4086.4000 B20 B18 231 N B20->S28->P10->B18
38029.4000 M1134 796303 1 4605.4000 P0 S28 223 N P0->S28
38033.1000 M1274 919872 1 509.1000 S28 P0 291 N S28->P0
38055.0000 M939 825989 5 10336.0000 P5 B19 127 N P5->S32->B18->S36->P5->B19
38215.8000 M1253 798449 1 1323.8000 S32 B16 277 N S32->B16
38426.9000 M1173 877183 2 3873.9000 B20 S26 235 N B20->P1->S26
38431.0000 M1294 662924 1 327.0000 P10 S31 294 N P10->S31
38437.9000 M1242 615461 1 1876.9000 B19 B16 268 N B19->B16
38452.9000 M1281 879973 1 740.9000 S26 S27 287 N S26->S27
38478.1000 M963 797377 3 10064.1000 S31 S25 132 N S31->B23->B19->S25
38515.8000 M1268 778066 2 1178.8000 P6 P5 280 N P6->S37->P5
38695.4000 M1225 933467 2 2630.4000 P8 S27 256 N P8->P0->S27
38744.4000 M1286 964388 1 882.4000 P4 S30 285 N P4->S30
38851.0000 M1153 721436 3 4884.0000 B15 P10 218 N B15->S31->P13->P10
38853.3000 M1243 562228 2 2264.3000 P1 P13 262 N P1->P10->P13
39219.8000 M1116 836125 6 6319.8000 P11 S29 194 N P11->B16->S30->P10->S37->B18->S29
39288.3000 M1229 632912 3 3103.3000 S28 B20 248 N S28->P0->P10->B20
39300.4000 M990 540317 4 10112.4000 P0 P3 131 N P0->P1->S34->B20->P3
39365.8000 M1195 854657 3 4189.8000 P5 P1 230 N P5->S29->B23->P1
39439.2000 M1179 802965 1 4711.2000 B15 S28 221 N B15->S28
39441.7000 M1117 610532 1 6516.7000 B15 S28 191 N B15->S28
39606.9000 M883 752447 4 13519.9000 B23 P7 74 N B23->B22->S34->B15->P7
39705.2000 M889 723078 4 13433.2000 P11 S27 76 N P11->S25->P3->B19->S27
39748.3000 M1156 897408 2 5695.3000 P10 S27 205 N P10->B18->S27
39751.1000 M1036 695439 2 9205.1000 P9 S27 146 N P9->B18->S27
39769.8000 M911 582108 7 12849.8000 P3 S28 85 N P3->P5->S39->P10->P11->S25->P2->S28
39779.1000 M1124 679215 1 6642.1000 B17 P2 189 N B17->P2
39819.7000 M1320 642754 1 961.7000 P6 S30 283 N P6->S30
39921.1000 M1331 654373 1 760.1000 P8 B23 287 N P8->B23
40112.6000 M1348 618100 1 450.6000 B22 S30 292 N B22->S30
40138.7000 M1084 552572 3 8164.7000 B19 B24 163 N B19->S39->P12->B24
40566.9000 M1008 578357 7 10859.9000 P0 P6 119 N P0->P1->S34->B20->S31->S33->B24->P6
40621.2000 M1273 781227 2 3129.2000 P4 P3 247 N P4->P11->P3
40623.5000 M1123 571525 3 7512.5000 P3 P11 174 N P3->P7->P3->P11
40721.7000 M1220 842842 1 4807.7000 B19 S32 219 N B19->S32
40804.6000 M1303 712519 1 2440.6000 P2 B16 259 N P2->B16
40807.9000 M1233 813358 1 4505.9000 P2 B16 224 N P2->B16
40859.2000 M1377 706222 1 342.2000 P8 P11 294 N P8->P11
40863.1000 M875 581194 1 15011.1000 B22 B21 49 N B22->B21
40881.6000 M1371 706453 1 532.6000 S28 P13 291 N S28->P13
40904.6000 M1226 680759 4 4811.6000 P8 P13 219 N P8->P0->S29->P6->P13
41102.6000 M1335 618255 1 1824.6000 B23 P3 269 N B23->P3
41183.0000 M1357 789194 1 1264.0000 P3 S30 278 N P3->S30
41585.2000 M891 899179 3 15259.2000 P1 B22 45 N P1->P9->B20->B22
41610.0000 M1354 927619 1 1781.0000 P1 B23 270 N P1->B23
41646.4000 M1142 530963 3 7990.4000 B19 S31 166 N B19->P2->B24->S31
41928.6000 M1324 610246 3 2958.6000 S26 P6 250 N S26->P12->P10->P6
42321.8000 M1378 899686 2 1778.8000 S25 B23 270 N S25->S38->B23
42505.4000 M1277 949547 1 4897.4000 P2 P0 218 N P2->P0
42527.1000 M1321 637795 1 3643.1000 P4 S28 239 N P4->S28
42735.5000 M1386 721864 1 1961.5000 P1 P14 267 N P1->P14
42877.2000 M1334 944177 2 3629.2000 S25 S30 239 N S25->P9->S30
42895.6000 M1191 608080 10 7829.6000 P2 B22 169 N P2->S32->S25->P8->P0->S29->P6->P13->S34->B24->B22
42898.9000 M1280 821167 1 5212.9000 B24 B22 213 N B24->B22
43150.5000 M1118 643460 4 10192.5000 B24 P4 130 N B24->P13->B16->B19->P4
43166.8000 M1358 838914 1 3219.8000 S27 S31 246 N S27->S31
